x position        y position        field value
    0.69        0.66        9.49038
    0.7        0.66        9.49773
    0.71        0.66        9.50556
    0.72        0.66        9.51386
    0.73        0.66        9.52266
    0.74        0.66        9.53195
    0.75        0.66        9.54174
    0.76        0.66        9.55205
    0.77        0.66        9.56289
    0.78        0.66        9.57426
    0.79        0.66        9.58618
    0.8        0.66        9.59866
    0.81        0.66        9.6117
    0.82        0.66        9.62533
    0.83        0.66        9.63955
    0.84        0.66        9.65437
    0.85        0.66        9.66981
    0.86        0.66        9.68589
    0.87        0.66        9.70262
    0.88        0.66        9.72
    0.89        0.66        9.73807
    0.9        0.66        9.75683
    0.91        0.66        9.77629
    0.92        0.66        9.79648
    0.93        0.66        9.81742
    0.94        0.66        9.83911
    0.95        0.66        9.86158
    0.96        0.66        9.88485
    0.97        0.66        9.90893
    0.98        0.66        9.93384
    0.99        0.66        9.9596
    1        0.66        9.98624
    0.51        0.67        9.42644
    0.52        0.67        9.427
    0.53        0.67        9.42796
    0.54        0.67        9.42931
    0.55        0.67        9.43107
    0.56        0.67        9.43323
    0.57        0.67        9.43579
    0.58        0.67        9.43875
    0.59        0.67        9.44212
    0.6        0.67        9.4459
    0.61        0.67        9.45009
    0.62        0.67        9.4547
    0.63        0.67        9.45973
    0.64        0.67        9.46519
    0.65        0.67        9.47108
    0.66        0.67        9.47717
    0.67        0.67        9.48348
    0.68        0.67        9.49001
    0.69        0.67        9.49677
    0.7        0.67        9.50399
    0.71        0.67        9.51168
    0.72        0.67        9.51984
    0.73        0.67        9.52848
    0.74        0.67        9.53762
    0.75        0.67        9.54726
    0.76        0.67        9.5574
    0.77        0.67        9.56807
    0.78        0.67        9.57926
    0.79        0.67        9.591
    0.8        0.67        9.60329
    0.81        0.67        9.61614
    0.82        0.67        9.62956
    0.83        0.67        9.64358
    0.84        0.67        9.6582
    0.85        0.67        9.67343
    0.86        0.67        9.68929
    0.87        0.67        9.7058
    0.88        0.67        9.72296
    0.89        0.67        9.7408
    0.9        0.67        9.75933
    0.91        0.67        9.77857
    0.92        0.67        9.79852
    0.93        0.67        9.81922
    0.94        0.67        9.84068
    0.95        0.67        9.86291
    0.96        0.67        9.88593
    0.97        0.67        9.90977
    0.98        0.67        9.93444
    0.99        0.67        9.95997
    1        0.67        9.98636
    0.51        0.68        9.43378
    0.52        0.68        9.43431
    0.53        0.68        9.43524
    0.54        0.68        9.43656
    0.55        0.68        9.43827
    0.56        0.68        9.44038
    0.57        0.68        9.44288
    0.58        0.68        9.44578
    0.59        0.68        9.44909
    0.6        0.68        9.45279
    0.61        0.68        9.4569
    0.62        0.68        9.46143
    0.63        0.68        9.46636
    0.64        0.68        9.47172
    0.65        0.68        9.4775
    0.66        0.68        9.4837
    0.67        0.68        9.49012
    0.68        0.68        9.49675
    0.69        0.68        9.5036
    0.7        0.68        9.51068
    0.71        0.68        9.51823
    0.72        0.68        9.52624
    0.73        0.68        9.53472
    0.74        0.68        9.54369
    0.75        0.68        9.55316
    0.76        0.68        9.56313
    0.77        0.68        9.57361
    0.78        0.68        9.58462
    0.79        0.68        9.59616
    0.8        0.68        9.60825
    0.81        0.68        9.6209
    0.82        0.68        9.63411
    0.83        0.68        9.64791
    0.84        0.68        9.66231
    0.85        0.68        9.67732
    0.86        0.68        9.69295
    0.87        0.68        9.70922
    0.88        0.68        9.72615
    0.89        0.68        9.74375
    0.9        0.68        9.76203
    0.91        0.68        9.78102
    0.92        0.68        9.80072
    0.93        0.68        9.82117
    0.94        0.68        9.84237
    0.95        0.68        9.86434
    0.96        0.68        9.88711
    0.97        0.68        9.91069
    0.98        0.68        9.9351
    0.99        0.68        9.96036
    1        0.68        9.98649
    0.51        0.69        9.44163
    0.52        0.69        9.44214
    0.53        0.69        9.44303
    0.54        0.69        9.44432
    0.55        0.69        9.44598
    0.56        0.69        9.44804
    0.57        0.69        9.45048
    0.58        0.69        9.45332
    0.59        0.69        9.45655
    0.6        0.69        9.46018
    0.61        0.69        9.4642
    0.62        0.69        9.46863
    0.63        0.69        9.47347
    0.64        0.69        9.47872
    0.65        0.69        9.48439
    0.66        0.69        9.49048
    0.67        0.69        9.49699
    0.68        0.69        9.50372
    0.69        0.69        9.51065
    0.7        0.69        9.51781
    0.71        0.69        9.5252
    0.72        0.69        9.53305
    0.73        0.69        9.54138
    0.74        0.69        9.55017
    0.75        0.69        9.55946
    0.76        0.69        9.56924
    0.77        0.69        9.57953
    0.78        0.69        9.59034
    0.79        0.69        9.60168
    0.8        0.69        9.61356
    0.81        0.69        9.62599
    0.82        0.69        9.63898
    0.83        0.69        9.65255
    0.84        0.69        9.66672
    0.85        0.69        9.68148
    0.86        0.69        9.69687
    0.87        0.69        9.71289
    0.88        0.69        9.72957
    0.89        0.69        9.7469
    0.9        0.69        9.76493
    0.91        0.69        9.78365
    0.92        0.69        9.80309
    0.93        0.69        9.82326
    0.94        0.69        9.84419
    0.95        0.69        9.86588
    0.96        0.69        9.88837
    0.97        0.69        9.91167
    0.98        0.69        9.9358
    0.99        0.69        9.96078
    1        0.69        9.98663
    0.51        0.7        9.44999
    0.52        0.7        9.45048
    0.53        0.7        9.45134
    0.54        0.7        9.45258
    0.55        0.7        9.45421
    0.56        0.7        9.45621
    0.57        0.7        9.45859
    0.58        0.7        9.46136
    0.59        0.7        9.46452
    0.6        0.7        9.46806
    0.61        0.7        9.472
    0.62        0.7        9.47634
    0.63        0.7        9.48107
    0.64        0.7        9.48621
    0.65        0.7        9.49176
    0.66        0.7        9.49772
    0.67        0.7        9.50411
    0.68        0.7        9.51092
    0.69        0.7        9.51794
